label,sublabel,description,styles,bgcolor
燃えないごみ,,,img/moyasanai02.svg,#733b96
資源ごみ,,,img/shigen02.svg,#77ae1f
燃えるごみ,,,img/moyasu02.svg,#ea3b13
プラ,,,img/bin02.svg,#2dc7aa
